iter	Passed	Remaining
0	144	144676
1	146	72999
2	148	49344
3	150	37415
4	151	30136
5	153	25350
6	154	21892
7	155	19320
8	157	17354
9	159	15747
10	160	14404
11	161	13282
12	162	12342
13	163	11540
14	164	10832
15	166	10211
16	167	9665
17	168	9176
18	169	8741
19	170	8349
20	171	8013
21	172	7681
22	173	7375
23	174	7090
24	175	6831
25	176	6597
26	176	6374
27	177	6173
28	178	5976
29	179	5795
30	179	5621
31	180	5459
32	181	5305
33	181	5161
34	182	5023
35	183	4900
36	183	4777
37	184	4660
38	184	4548
39	185	4447
40	186	4351
41	186	4258
42	187	4178
43	188	4092
44	188	4008
45	189	3931
46	190	3856
47	190	3783
48	191	3712
49	191	3644
50	192	3581
51	193	3522
52	193	3461
53	194	3405
54	194	3349
55	195	3295
56	196	3245
57	196	3194
58	197	3146
59	197	3099
60	198	3053
61	198	3009
62	199	2966
63	200	2926
64	200	2891
65	201	2854
66	202	2816
67	202	2779
68	203	2744
69	203	2709
70	204	2676
71	205	2642
72	205	2610
73	206	2580
74	207	2556
75	207	2527
76	208	2498
77	208	2469
78	209	2441
79	209	2414
80	210	2388
81	211	2363
82	211	2335
83	212	2312
84	212	2288
85	213	2270
86	214	2247
87	214	2225
88	215	2205
89	216	2185
90	216	2164
91	217	2144
92	217	2125
93	218	2105
94	218	2086
95	219	2066
96	220	2048
97	220	2030
98	221	2013
99	221	1997
100	222	1981
101	223	1965
102	223	1949
103	224	1933
104	224	1917
105	225	1901
106	226	1889
107	226	1874
108	227	1859
109	228	1845
110	228	1831
111	229	1817
112	229	1803
113	230	1789
114	230	1776
115	231	1763
116	231	1750
117	232	1737
118	233	1725
119	233	1713
120	234	1701
121	234	1689
122	235	1677
123	235	1666
124	236	1655
125	237	1645
126	237	1633
127	238	1622
128	239	1614
129	239	1604
130	240	1595
131	241	1585
132	241	1575
133	242	1565
134	242	1556
135	243	1546
136	243	1536
137	244	1527
138	245	1518
139	245	1509
140	246	1500
141	246	1490
142	247	1482
143	247	1473
144	248	1464
145	249	1456
146	249	1448
147	250	1439
148	250	1431
149	251	1426
150	252	1418
151	252	1410
152	253	1403
153	254	1396
154	254	1389
155	255	1381
156	255	1374
157	256	1366
158	256	1359
159	257	1353
160	258	1345
161	258	1338
162	259	1331
163	259	1324
164	260	1317
165	261	1311
166	261	1304
167	262	1298
168	262	1292
169	263	1285
170	263	1279
171	264	1273
172	265	1266
173	265	1261
174	266	1255
175	266	1249
176	267	1243
177	268	1238
178	268	1232
179	269	1226
180	269	1220
181	270	1217
182	271	1211
183	271	1206
184	272	1200
185	272	1194
186	273	1189
187	274	1184
188	274	1178
189	275	1173
190	276	1169
191	276	1165
192	277	1159
193	277	1154
194	278	1149
195	279	1145
196	279	1140
197	280	1135
198	280	1130
199	281	1125
200	281	1120
201	282	1116
202	283	1114
203	284	1110
204	285	1106
205	285	1101
206	286	1096
207	286	1092
208	287	1087
209	288	1083
210	288	1079
211	289	1076
212	290	1071
213	290	1067
214	291	1064
215	292	1060
216	292	1056
217	293	1052
218	293	1048
219	294	1044
220	295	1040
221	295	1036
222	296	1032
223	296	1028
224	297	1025
225	298	1022
226	299	1018
227	299	1014
228	300	1010
229	300	1007
230	301	1003
231	302	1000
232	302	996
233	303	992
234	303	989
235	304	985
236	305	982
237	305	978
238	306	976
239	307	972
240	307	969
241	308	966
242	309	962
243	309	959
244	310	955
245	310	952
246	311	948
247	311	945
248	312	942
249	312	938
250	313	935
251	314	932
252	314	929
253	315	926
254	316	923
255	316	920
256	317	917
257	317	914
258	318	910
259	319	907
260	319	905
261	320	901
262	320	898
263	322	897
264	322	894
265	323	891
266	323	888
267	324	885
268	325	883
269	325	880
270	326	877
271	327	875
272	327	872
273	328	869
274	329	868
275	330	868
276	331	865
277	332	862
278	332	859
279	333	856
280	334	855
281	334	852
282	335	849
283	336	847
284	336	844
285	337	841
286	337	839
287	338	836
288	338	833
289	339	831
290	340	828
291	340	826
292	341	823
293	341	821
294	342	818
295	343	816
296	343	813
297	344	810
298	344	808
299	345	805
300	345	802
301	346	800
302	346	798
303	347	795
304	348	793
305	348	790
306	349	788
307	349	785
308	350	783
309	350	780
310	351	778
311	352	776
312	352	774
313	353	772
314	354	770
315	354	768
316	355	765
317	356	763
318	356	761
319	357	758
320	357	756
321	358	754
322	358	752
323	359	750
324	360	748
325	360	745
326	361	743
327	361	741
328	362	739
329	363	737
330	364	736
331	364	733
332	365	731
333	366	730
334	366	728
335	367	726
336	368	724
337	368	721
338	369	720
339	370	718
340	370	716
341	371	715
342	372	713
343	373	711
344	373	710
345	374	708
346	375	706
347	375	704
348	376	702
349	376	700
350	377	697
351	378	695
352	378	693
353	379	692
354	379	690
355	380	688
356	381	686
357	381	684
358	383	684
359	384	683
360	384	681
361	385	679
362	386	677
363	386	675
364	387	673
365	387	671
366	388	670
367	389	668
368	389	666
369	390	664
370	390	662
371	391	660
372	392	659
373	392	657
374	393	655
375	393	653
376	394	651
377	394	649
378	395	647
379	396	646
380	397	645
381	397	643
382	398	641
383	399	640
384	399	638
385	400	636
386	400	634
387	401	632
388	401	631
389	403	630
390	403	628
391	404	627
392	405	625
393	405	623
394	406	622
395	406	620
396	407	618
397	407	616
398	408	615
399	408	613
400	409	611
401	410	610
402	410	608
403	411	607
404	412	605
405	412	604
406	413	602
407	413	600
408	414	599
409	415	597
410	415	595
411	416	593
412	416	592
413	417	590
414	418	589
415	418	587
416	419	585
417	419	584
418	420	582
419	420	581
420	421	579
421	421	577
422	422	576
423	423	574
424	423	573
425	424	571
426	424	569
427	425	568
428	426	567
429	426	565
430	427	564
431	428	563
432	428	561
433	429	560
434	430	558
435	430	556
436	431	555
437	431	553
438	432	552
439	432	550
440	433	549
441	433	547
442	434	546
443	435	544
444	435	543
445	436	541
446	436	540
447	437	538
448	437	537
449	438	536
450	439	534
451	439	533
452	440	531
453	441	531
454	442	529
455	442	528
456	443	526
457	443	525
458	444	523
459	444	522
460	445	520
461	445	519
462	446	517
463	447	516
464	447	515
465	448	513
466	448	512
467	449	511
468	450	509
469	450	508
470	451	507
471	452	505
472	452	504
473	453	502
474	453	501
475	454	500
476	454	498
477	455	497
478	456	496
479	457	495
480	457	493
481	458	492
482	458	491
483	459	490
484	460	488
485	460	487
486	461	486
487	461	484
488	462	483
489	463	481
490	463	480
491	464	479
492	464	477
493	465	476
494	465	475
495	466	473
496	467	472
497	467	471
498	468	470
499	469	469
500	469	467
501	470	466
502	470	465
503	471	464
504	472	462
505	472	461
506	473	460
507	473	458
508	474	457
509	474	456
510	475	455
511	476	453
512	476	452
513	477	451
514	477	450
515	478	448
516	479	447
517	479	446
518	480	445
519	480	443
520	481	442
521	482	441
522	482	440
523	483	439
524	483	437
525	484	436
526	484	435
527	485	433
528	485	432
529	486	431
530	487	430
531	487	429
532	488	427
533	488	426
534	489	425
535	489	424
536	490	422
537	490	421
538	491	420
539	492	419
540	493	418
541	493	417
542	494	416
543	494	414
544	495	413
545	496	412
546	496	411
547	497	410
548	498	409
549	498	408
550	499	407
551	500	405
552	500	404
553	501	403
554	502	402
555	502	401
556	503	400
557	503	399
558	504	398
559	505	396
560	505	395
561	506	394
562	506	393
563	507	392
564	508	391
565	508	390
566	509	389
567	509	387
568	511	387
569	511	385
570	512	384
571	512	383
572	513	382
573	513	381
574	514	380
575	514	379
576	515	377
577	516	376
578	516	375
579	517	374
580	518	373
581	518	372
582	519	371
583	519	370
584	520	369
585	520	367
586	521	366
587	521	365
588	522	364
589	523	363
590	523	362
591	524	361
592	525	360
593	525	359
594	526	358
595	527	357
596	527	356
597	528	355
598	529	354
599	529	353
600	530	352
601	531	351
602	532	350
603	532	349
604	533	348
605	534	347
606	534	346
607	536	345
608	536	344
609	537	343
610	538	342
611	538	341
612	539	340
613	540	339
614	540	338
615	541	337
616	541	336
617	542	335
618	543	334
619	543	333
620	544	332
621	545	331
622	545	330
623	546	329
624	547	328
625	547	327
626	548	326
627	548	325
628	549	324
629	549	322
630	550	321
631	551	320
632	551	319
633	552	318
634	552	317
635	553	316
636	553	315
637	554	314
638	555	313
639	556	312
640	556	311
641	557	310
642	557	309
643	558	308
644	559	307
645	559	306
646	560	305
647	560	304
648	561	303
649	562	302
650	563	301
651	563	300
652	564	299
653	564	298
654	565	297
655	565	296
656	566	295
657	567	294
658	567	293
659	568	292
660	569	291
661	569	290
662	570	289
663	570	288
664	571	287
665	571	286
666	572	285
667	573	284
668	573	283
669	574	282
670	575	282
671	575	281
672	576	280
673	577	279
674	577	278
675	578	277
676	578	276
677	579	275
678	580	274
679	581	273
680	581	272
681	582	271
682	583	270
683	583	269
684	584	268
685	585	267
686	585	266
687	586	265
688	586	264
689	587	264
690	588	263
691	588	262
692	589	261
693	590	260
694	590	259
695	591	258
696	592	257
697	593	256
698	594	255
699	594	254
700	595	253
701	595	252
702	596	252
703	597	251
704	597	250
705	598	249
706	599	248
707	599	247
708	600	246
709	600	245
710	601	244
711	601	243
